0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:46 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:47 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:48 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:48 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:48 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:48 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:51 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:51 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:53 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:53 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:55 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:55 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:57 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:57 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:57 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:35:06 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
